iter	Logloss
0	0.499620889
1	0.3765163509
2	0.2996922678
3	0.250376707
4	0.2190842263
5	0.198521003
6	0.1850066094
7	0.1754125178
8	0.1688749269
9	0.1643117586
10	0.161468637
11	0.1594875353
12	0.1578231022
13	0.1567654032
14	0.155749621
15	0.155006112
16	0.1545035052
17	0.1541006088
18	0.1537536575
19	0.1535952814
20	0.1533350011
21	0.1531979162
22	0.1530060723
23	0.1528708706
24	0.1527513594
25	0.1526616376
26	0.1525413468
27	0.1524682289
28	0.1524051713
29	0.152357956
30	0.1522854617
31	0.1522276947
32	0.1521304656
33	0.152084834
34	0.1520482812
35	0.1520138048
36	0.1519994799
37	0.1519707134
38	0.1519058809
39	0.1518717072
40	0.1518412218
41	0.1518116293
42	0.1517852522
43	0.1517506499
44	0.1517158539
45	0.1517011471
46	0.1516562901
47	0.151649423
48	0.1516349941
49	0.1515983886
50	0.1515534098
51	0.1515305372
52	0.1514580192
53	0.151446881
54	0.1514263109
55	0.1513915687
56	0.1513671183
57	0.1513342943
58	0.1513093621
59	0.151288253
60	0.151258121
61	0.1512445977
62	0.1512441668
63	0.1512181402
64	0.1511991914
65	0.1511503796
66	0.1511282076
67	0.1511281379
68	0.151118397
69	0.15110183
70	0.1510833631
71	0.1510744435
72	0.151059032
73	0.1510468955
74	0.1510444285
75	0.151007976
76	0.1509952784
77	0.1509849024
78	0.1509721381
79	0.1509469584
80	0.1509416075
81	0.1509316695
82	0.1509109173
83	0.1508908608
84	0.1508824557
85	0.150867671
86	0.1508384713
87	0.1508324546
88	0.1508196092
89	0.1507951617
90	0.1507857399
91	0.1507847716
92	0.150764286
93	0.1507346564
94	0.15073299
95	0.1507271184
96	0.150726718
97	0.1507030801
98	0.1506453921
99	0.1506040768
100	0.1505960781
101	0.1505926346
102	0.1505874109
103	0.1505455778
104	0.1505160408
105	0.1504939788
106	0.1504747518
107	0.1504313017
108	0.1504283291
109	0.1504023445
110	0.1503995164
111	0.1503776364
112	0.1503607781
113	0.1503464388
114	0.1503352711
115	0.1503234761
116	0.1503069616
117	0.1502928841
118	0.1502605389
119	0.1502430363
120	0.15021855
121	0.1501926572
122	0.1501702843
123	0.1501401454
124	0.1501139831
125	0.1501071925
