iter	Passed	Remaining
928	290511	22202
929	290789	21887
930	291074	21572
931	291360	21258
932	291638	20942
933	291923	20628
934	292204	20313
935	292505	20000
936	292801	19686
937	293077	19371
938	293372	19058
939	293701	18746
940	293993	18433
941	294289	18119
942	294610	17807
943	294890	17493
944	295199	17180
945	295497	16867
946	295773	16553
947	296079	16240
948	296372	15927
949	296646	15612
950	296945	15300
951	297250	14987
952	297554	14674
953	297853	14361
954	298127	14047
955	298444	13735
956	298739	13422
957	299036	13110
958	299329	12797
959	299631	12484
960	299924	12171
961	300224	11859
962	300498	11545
963	300831	11234
964	301119	10921
965	301423	10609
966	301697	10295
967	301993	9983
968	302268	9670
969	302557	9357
970	302825	9044
971	303126	8732
972	303426	8419
973	303728	8107
974	304029	7795
975	304309	7483
976	304589	7170
977	304881	6858
978	305197	6546
979	305502	6234
980	305798	5922
981	306097	5610
982	306406	5298
983	306676	4986
984	306976	4674
985	307298	4363
986	307601	4051
987	307871	3739
988	308172	3427
989	308469	3115
990	308763	2804
991	309066	2492
992	309358	2180
993	309643	1869
994	309955	1557
995	310300	1246
996	310624	934
997	310950	623
998	311303	311
999	311635	0
